num_topics,alpha,beta,u_mass
19,0.3,0.6,-0.2099450637188022
19,0.3,1,-0.19923155419371033
19,0.3,symmetric,-0.19759117555483574
19,0.6,0.01,-0.19398945248942012
19,0.6,0.3,-0.18624218816090538
19,0.6,0.6,-0.17506296951405872
19,0.6,1,-0.16002459872645716
19,0.6,symmetric,-0.1861713029355729
19,1,0.01,-0.20039218397668698
19,1,0.3,-0.17541008480588885
19,1,0.6,-0.16338478886569613
19,1,1,-0.15579949146633
19,1,symmetric,-0.20065335160230865
19,symmetric,0.01,-0.20371217747108525
19,symmetric,0.3,-0.19829610243717063
19,symmetric,0.6,-0.20270334655266153
19,symmetric,1,-0.20208208254325974
19,symmetric,symmetric,-0.20263422586846028
19,asymmetric,0.01,-0.19904363852212859
19,asymmetric,0.3,-0.19731623403783613
19,asymmetric,0.6,-0.1988001010052506
19,asymmetric,1,-0.19116591282364026
19,asymmetric,symmetric,-0.2081590407898625
20,0.01,0.01,-0.20162665406633667
20,0.01,0.3,-0.2237681214825536
20,0.01,0.6,-0.2226157986985169
20,0.01,1,-0.21433411484898937
20,0.01,symmetric,-0.20068790432979394
20,0.3,0.01,-0.20596066097183457
20,0.3,0.3,-0.19575987296516276
20,0.3,0.6,-0.20040070632460877
20,0.3,1,-0.1813662535888411
20,0.3,symmetric,-0.258755737968048
20,0.6,0.01,-0.19063848793173005
20,0.6,0.3,-0.19012749273139604
20,0.6,0.6,-0.17839722173998135
20,0.6,1,-0.1549042551596754
20,0.6,symmetric,-0.2016693640447432
20,1,0.01,-0.28838781148662745
20,1,0.3,-0.18353694174485363
20,1,0.6,-0.1594047434529833
20,1,1,-0.14561692471517607
20,1,symmetric,-0.1954402571120173
20,symmetric,0.01,-0.213570264746557
20,symmetric,0.3,-0.2222799724209398
20,symmetric,0.6,-0.21412432306569493
20,symmetric,1,-0.18160994608334888
20,symmetric,symmetric,-0.20715876034660888
20,asymmetric,0.01,-0.2090755469516324
20,asymmetric,0.3,-0.20640270745250527
20,asymmetric,0.6,-0.23894724740710785
20,asymmetric,1,-0.18290164916309318
20,asymmetric,symmetric,-0.20269913055332028
