num_topics,alpha,beta,u_mass,c_v
20,0.01,1,-2.7545641302286894,0.32047907932560765
20,0.01,symmetric,-2.7307917452210924,0.3197749751590503
20,0.3,0.01,-2.373361040627888,0.30857817242465735
20,0.3,0.3,-2.879847535681479,0.31801811821776654
20,0.3,1,-5.445095369483495,0.40322820686667316
20,0.3,symmetric,-2.3404528707689756,0.33586501921776046
20,1,0.01,-2.8640010590305103,0.29519158904109655
20,1,0.3,-6.25038757238794,0.4027824473868188
20,1,1,-10.04813026595322,0.5078294954769577
20,1,symmetric,-3.589949359587589,0.3219602529415395
20,symmetric,0.01,-2.8408901126487143,0.3065954306765246
20,symmetric,0.3,-2.766453876743569,0.32264422891875455
20,symmetric,1,-2.7621489335307734,0.32232739183886544
20,symmetric,symmetric,-2.8980020019143766,0.3244626588716138
20,asymmetric,0.01,-2.837284358210451,0.3169553752253919
20,asymmetric,0.3,-3.3543744852484827,0.31263600130940195
20,asymmetric,1,-3.2463292159645265,0.3101937810693062
20,asymmetric,symmetric,-2.997380940678071,0.31589418680215076
