num_topics,alpha,beta,u_mass
20,1,symmetric,-1.2487580118465094
20,symmetric,0.01,-2.382076425063261
20,symmetric,0.3,-1.7068964722985842
20,symmetric,0.6,-1.6930219032661444
20,symmetric,1,-1.4241956890648058
20,symmetric,symmetric,-2.3885861094031564
20,asymmetric,0.01,-2.3430101426756456
20,asymmetric,0.3,-2.142244531739951
20,asymmetric,0.6,-2.102131406878444
20,asymmetric,1,-1.7718829015626834
20,asymmetric,symmetric,-2.6070831196239643
